"","gene_id","log2foldchange","log2CPM","pvalue","FDR","change","logP"
"HSD11B2","HSD11B2",-8.31236202799037,6.93518806215326,5.63932414741362e-120,9.73065381636221e-116,"down",119.24877294152
"MFSD4A","MFSD4A",-6.31629438704882,3.78590141356305,2.26831300815829e-119,1.95698704778856e-115,"down",118.64429701665
"PROM2","PROM2",-6.71569972275242,3.67132025765303,1.07225793561531e-115,6.16727022634738e-112,"down",114.969700730931
"SLC4A9","SLC4A9",-7.80482037111697,1.37293813536011,1.23652882971477e-104,5.33407623918207e-101,"down",103.907795753593
"PBLD","PBLD",-4.02780447589633,3.39782580284123,1.88348211583333e-103,6.49989678174082e-100,"down",102.725038499183
"SLC6A12","SLC6A12",-7.55031978927261,3.76092133475176,5.11004374106785e-103,1.46956341253543e-99,"down",102.291575382366
"MECOM","MECOM",-4.95604476981049,4.44260048944697,1.38364400457417e-97,3.41068247127533e-94,"down",96.8589756343999
"SMIM5","SMIM5",-6.99208612316952,1.96888127059592,3.84528563339879e-92,8.29380045053702e-89,"down",91.4150713946398
"SGK2","SGK2",-6.36407251653082,2.24838351394285,3.68646579290987e-87,7.06777413962887e-84,"down",86.4333897916048
"KCNQ1","KCNQ1",-4.54265403590124,3.50021923799622,4.93292239137529e-86,8.51175758631806e-83,"down",85.3068957171473
"ELMO3","ELMO3",-4.4235012690067,2.24817930521732,1.86208303876211e-85,2.92093116671275e-82,"down",84.7300009557542
"PDZK1","PDZK1",-6.99621091910677,2.91502600125358,3.15883359955172e-83,4.54213948002208e-80,"down",82.5004732511762
"GPX3","GPX3",-6.74951158043635,7.63758937035631,2.87181274847716e-82,3.81177915192103e-79,"down",81.541843880918
"ADGRG1","ADGRG1",-5.70118168769844,6.38202452794283,2.82005321696567e-81,3.47571558991018e-78,"down",80.549742696072
"EGF","EGF",-11.543119674188,4.25388069161667,8.9815366980295e-81,1.03317610482999e-77,"down",80.0466493512638
"SLC6A13","SLC6A13",-8.23008381841922,1.66815314931493,2.2227592841438e-79,2.39710696549382e-76,"down",78.6531075670934
"TMEM72","TMEM72",-10.6986903008445,3.49254171817618,1.38292316903012e-77,1.40366701656558e-74,"down",76.8592019472899
"CAPS","CAPS",-4.24628913799741,3.09513575306137,1.96124684180684e-77,1.88007301418762e-74,"down",76.7074677427483
"AIF1L","AIF1L",-6.6697724221654,6.41143662403537,2.40208239358876e-76,2.181470089546e-73,"down",75.6194120999859
"TFCP2L1","TFCP2L1",-7.65569293827538,4.71578856459366,2.00330245712907e-73,1.7283491948881e-70,"down",72.6982534762952
"UMOD","UMOD",-16.9081646729984,9.10179567258349,5.45293522588092e-72,4.48049511059883e-69,"down",71.2633696611633
"ATP1A1","ATP1A1",-4.55956623231928,8.13909292866251,6.38706593346988e-71,5.00949194009195e-68,"down",70.1946986006113
"TMEM45B","TMEM45B",-5.15983529340913,1.89394973918232,1.00449095164207e-70,7.53586581329736e-68,"down",69.9980539709811
"ATP6V1C2","ATP6V1C2",-3.8670593382868,2.006794613416,5.62076659622247e-70,4.04109698407578e-67,"down",69.2502044485226
"BCAM","BCAM",-5.06633834846214,7.28424515602871,1.63511832373917e-68,1.12855866704477e-65,"down",67.7864508145709
"SPNS2","SPNS2",-5.33728569412819,3.821793996346,2.56271125688311e-68,1.70075318221223e-65,"down",67.591300323432
"RAP1GAP","RAP1GAP",-4.78222627920471,4.92449101622114,2.72828248063028e-66,1.74357460012131e-63,"down",65.5641106657502
"VAV3","VAV3",-5.53827499727508,3.86386832466068,1.27387916368521e-65,7.85028034621009e-63,"down",64.8948717659046
"SLC47A2","SLC47A2",-6.95745344386417,1.5528216434883,4.82582802627467e-65,2.87136767563343e-62,"down",64.3164281587162
"IQUB","IQUB",-4.95089899226688,-0.562399235266971,5.19703655758331e-65,2.98916219337e-62,"down",64.284244228203
"PAQR5","PAQR5",-5.51782261300818,3.02207436943034,3.08521473977802e-63,1.7172703333829e-60,"down",62.5107146024395
"NAPSA","NAPSA",-5.34901976160092,2.45061697638036,6.44292104313321e-63,3.47414383122698e-60,"down",62.1909171908237
"MUC20","MUC20",-6.22836671547162,3.10478623962029,1.11011490723568e-62,5.80455537101565e-60,"down",61.9546320653615
"PRR35","PRR35",-8.98746367047798,2.26393807789499,2.98044406638944e-62,1.51257536369264e-59,"down",61.5257190241067
"AQP2","AQP2",-14.4785448386244,7.12447465911652,7.7539943651796e-62,3.82271922203354e-59,"down",61.1104745189301
"TMEM139","TMEM139",-6.03487836816832,1.73332346033626,1.21352121611732e-60,5.81647460669566e-58,"down",59.9159526264502
"OVOL1","OVOL1",-6.59566356628724,-0.312244234674123,1.47904974061474e-60,6.8975684525155e-58,"down",59.8300172203836
"PLA2G4F","PLA2G4F",-9.51709698841648,1.78198118393597,7.43712852459948e-60,3.37704349189379e-57,"down",59.1285947131956
"MAP7","MAP7",-5.22661278046855,2.32258715082189,4.34202929525391e-58,1.92106962793862e-55,"down",57.3623072507286
"CLCNKB","CLCNKB",-9.51077190398844,4.66052568608526,1.49784536456062e-57,6.4613304413734e-55,"down",56.8245330202711
"POU5F1","POU5F1",-4.24463328837664,-0.406573175690569,2.91842503011332e-57,1.22822985108793e-54,"down",56.5348514585732
"CLTRN","CLTRN",-6.04418212019538,2.47353736733037,3.46475539994726e-57,1.423437010145e-54,"down",56.4603274196966
"NAT8","NAT8",-10.0149568011923,3.21888323606842,5.49934873987665e-57,2.20677354666446e-54,"down",56.2596887387648
"AQP3","AQP3",-6.51188205227274,4.67270648795875,9.81119207044653e-57,3.84754816308079e-54,"down",56.0082782221649
"TINAGL1","TINAGL1",-4.53877863768222,4.77431371808044,1.19098602730842e-56,4.56676975582375e-54,"down",55.9240933336461
"ATP6V1B1","ATP6V1B1",-5.67847541560159,4.46446959172984,1.63084936010819e-56,6.11745776275367e-54,"down",55.7875861524454
"MTMR10","MTMR10",-2.44437316118951,4.75183872006631,4.13540738414302e-55,1.5182224343274e-52,"down",54.3834817011125
"CYP17A1","CYP17A1",-5.0518357618263,-1.68062088578999,5.31028165344695e-54,1.9089356235464e-51,"down",53.2748824436466
"TNS1","TNS1",-3.59249007050997,6.03976547256414,7.79812546253361e-54,2.74605418073505e-51,"down",53.1080097818118
"ATP6V0D2","ATP6V0D2",-7.18466983649584,3.57555567914796,4.69062875365194e-53,1.61873598288529e-50,"down",52.3287689385345
"TTK","TTK",4.51116227315869,4.79123837894161,7.79475660705882e-53,2.63722598538823e-50,"up",52.1081974412014
