Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TARGET.52.PARRCL.11	0.153632420645607	0	0	0.0405006478550255	0	0.328284812133627	0	0	0.0375604526680544	0	0	0.160640396542881	0.0259108975330751	0	0	0.162844310213722	0	0.0195299503222192	0.0634960158378591	0	0.00760009624792928	0	0.442	0.023091088176411	1.09778305048454
TARGET.52.PARZBI.11	0.133474369814122	0	0.0122387997072506	0.0586305749910514	0	0.268785383211867	0.01403680490689	0	0.0180453447713482	0	0	0.0463906391859772	0.0217802683056681	0	0.0257698081558841	0.343844123746097	0	0	0.0570038832038439	0	0	0	0.076	0.131347433287272	1.0313797992181
TARGET.52.PASXNA.11	0.159196332183217	0	0	0	0	0.314903090968521	0	0	0.0354532148811228	0	0	0.0654694622437059	0.0370117972831924	0.00442931333252807	0.0389552050765997	0.175854423019678	0.095296176279737	0	0.0734309847316971	0	0	0	0.166	0.084244921515413	1.04574471859927
TARGET.52.PAUDPV.11	0.125134672413059	0	0.00140648514835287	0.0973323453586178	0	0.279187352895342	0.0707708992106216	0	0	0	0.0218343078633832	0.00181380454739764	0.114084939784773	0	0.0246978633780212	0.2301568093493	0	0	0.0191691733643773	0	0.0144113466867542	0	0.707	-0.00516155347446619	1.08261166580395
TARGET.52.PARPFY.11	0.195115860099586	0	0.14415753875139	0.000384719764331866	0	0.182998281434194	0.0362033030407766	0	0.00359446784386203	0.000206301057984187	0	0.0490124006694019	0.08155905661775	0.0555612571723806	0.0264290501393628	0.132941293233703	0.03739648294563	0.0219627872642567	0.0197461330502619	0	0	0.0127310669151294	0.002	0.407405208617503	0.91356635541678
TARGET.52.PASDLA.11	0.121479860673633	0	0.0205841153836074	0.239022394639257	0	0.21380972898452	0.110988366129905	0	0	0	0	0.0890540946988849	0.0222540615747964	0.0136681721481246	0.0295666996783884	0.0515008706108982	0	0	0.0880716354779865	0	0	0	0.197	0.0729345109481549	1.07922995145624
TARGET.52.PARKKN.01	0.213946004034558	0.0619107134753556	0	0.214876812588013	0	0	0.0557586390142432	0.0932114056576635	0.101920015605914	0	0	0	0	0.124349994846371	0.0985650605089237	0.0308804782664946	0.00146954699669993	0	0	0	0	0.00311132900576415	0	0.535435136955074	0.844957765001555
TARGET.52.PAVVIT.01	0.0309439688103236	0.0124348959221479	0	0.0536297335498165	0	0.285538188440681	0.0104406781381273	0.00321671388826431	0	0	0	0.00998455353099523	0.146325983998246	0	0.0771967063044513	0.269632009446465	0	0.0122359658419279	0.0841030670939629	0	0.0043175350345913	0	0.958	-0.0373213704502344	1.09163375293155
TARGET.52.PATAFT.01	0.00675776744368046	0	0.00196087038947851	0.105839400641512	0	0.201100322522098	0.0711581663409362	0.0499055483415736	0.000471502993106527	0.0735580378315803	0	0.0540199404519618	0.0414582341600811	0.0557022487829195	0.0543490928085465	0.279304390149616	0	0	0.00246186815154527	0	0	0.00195260899136361	0.194	0.0734486665097746	1.06531352762375
TARGET.52.PATXKA.01	0.0592407799267838	0.0854843348975964	0	0.0182194799505844	0	0.103601950138457	0	0.050719797042514	0	0.00942112762163844	0	0.0194326426251563	0.110180401520557	0.126299998670937	0.088553028860324	0.252946948017854	0	0.0377117911808543	0	0	0.0381877195467424	0	0.516	0.0138483947519279	1.07913055686406
TARGET.52.PAVITI.01	0.0176265762796617	0	0.00322948801793011	0.337005898274969	0	0.0940868630316627	0.115281799421288	0.0403918437252353	0.0636356754936148	0.070064310183229	0	0	0	0.11250207364194	0.0409843215757724	0.0975526373950643	0.00293445852894987	0	0.00470405443068337	0	0	0	0.00700000000000001	0.292452015337341	0.980251324173409
TARGET.52.PASILR.01	0.0474700218123452	0	0.0161888688373358	0.0489037458964346	0	0.206891091499226	0.129096515740478	0	0.0488475668873547	0.00873289355889203	0	0	0.0652477324493272	0	0.091386818500645	0.320610037508279	0	0	0.016624707309683	0	0	0	0.081	0.128687844616394	1.02953776515182
TARGET.52.PAKPEW.01	0.127165935021624	0	0.0237918645799989	0	0	0.255095356822819	0.0467079208408222	0	0	0	0	0.0336185983554854	0.0372703655748429	0	0	0.351787326632462	0	0.0731815898931397	0.0278983723703346	0	0.0234826699084717	0	0.167	0.0839500880580627	1.04474970752411
TARGET.52.PAUCGJ.01	0.0194368377595734	0.00848005569418982	0.0839659920887495	0.0893700413242844	0	0.0865794922655978	0.0968550422630787	0.0184835227308732	0.00813746783383145	0.0513009829794748	0	0.00470532129095451	0.025426768319794	0.173793295575809	0.0267464894257545	0.293096048430068	0	0	0	0.00604987986897913	0.000263886134545063	0.0073088760144429	0.00700000000000001	0.290454323355147	0.965714828005543
TARGET.52.PAREWI.01	0.116740363725375	0	0.000351612656024798	0.0299584898721076	0	0.0989454959777434	0.0720261532034195	0	0	0	0.0243942476302589	0.0221733044986834	0.154413590777606	0.0916184274712447	0.0840122818105264	0.206041946267194	0.0688472993006006	0	0	0.00333847311980457	0.0271383136894104	0	0.112	0.103275035842642	1.03670565019803
TARGET.52.PARGRN.01	0.0348432515401393	0	0	0.0742676104854809	0	0.0697281578804464	0.0303581073610567	0.0175765870156632	0.0122793145058687	0	0	0.0659743615689004	0.104481137008362	0.0881840776769744	0.0555741079690458	0.42163359169457	0	0	0	0	0.011880934209641	0.0132187610838513	0.144	0.0905243407277805	1.05966563573851
TARGET.52.PASDLA.01	0.0386433887800416	0	0.000290874249670073	0.470221519733747	0	0	0.0579060038314011	0.046120859948097	0.0293891032719582	0	0	0.0412548817030867	0.0014377453939796	0.00898966367581599	0.0438687268595601	0.25788093519081	0.00323331726217288	0	0	0	0.000762980099660306	0	0.655	8.94711682438535e-05	1.12330194410592
TARGET.52.PAWFBL.01	0.0802597597239638	0	0.0821881586463462	0.0254500557109599	0	0.177510808222787	0.0110822375653598	0	0	0.00275679700090817	0.0535286473331929	0	0	0.110945922891402	0.113642725981663	0.319130035778877	0.00360467213440879	0	0.0152690136272635	0	0.00463116538286793	0	0.013	0.248942276560551	0.985605722235661
TARGET.52.PARTKH.01	0.012343694357952	0	0.000134029601803207	0.248009961660768	0	0.0228347213416377	0.126373748774468	0.0394379689378132	0.044015154917022	0.123481090829136	0	0.0113938479605952	0	0.0364001561559543	0.0771096427036949	0.255496373694833	0	0	0.00296960906432242	0	0	0	0.005	0.327691359987818	0.954962042412376
TARGET.52.PASADZ.01	0.014828541302494	0.00679351370474418	0.00910147456284393	0.128747624085777	0	0.14784088261315	0.0204455398215731	0.0563670931790323	0	0.0415211074530369	0	0.0678463872025872	0.0218553234066251	0	0.126295165730264	0.253565629631679	0.0624030116571843	0	0	0	0.0423887056490085	0	0.26	0.0541903918344484	1.07201650797599
TARGET.52.PARUGK.01	0.0142604013895079	0	0.00480715181066614	0.281401338265258	0	0.0212297959313641	0.0943910867620879	0.0189948812481946	0	0.13297734094477	0	0.065973738124176	0.0726616891246396	0	0.0441422286537379	0.241170480660727	0	0	0	0.00798986708487129	0	0	0.002	0.426342479925885	0.906238079488917
TARGET.52.PAVCKS.01	0.0340384544642068	0	0.0102522712932301	0.0339347946117168	0	0.0717674659650035	0.0220721223239891	0.013486789772282	0.0308893046756526	0	0	0.00999218035313091	0.0895779434631855	0.196949564690743	0.0483242858664261	0.427361138747023	0	0	0.0113536837734111	0	0	0	0.028	0.186932039522248	1.02730302613557
TARGET.52.PARIRN.01	0.0634541268525361	0	0.0835974032447084	0.0490797581125553	0	0.119907907878872	0.0197163440804196	0	0	0	0	0.025486135577781	0.0933648587279364	0	0.0222384119481017	0.467513050696696	0.00495309053263858	0	0.0506889123477549	0	0	0	0.00700000000000001	0.281337248551737	0.970775136254617
TARGET.52.PADYZI.01	0.0321588749577096	0	0.00127939757646331	0.0584171519000181	0	0.108557926340698	0.0684269188168083	0	0	0	0	0.0213671770268205	0.0129729027781154	0	0.00208401993558017	0.558716825896735	0	0.0276359473976694	0.108382857373383	0	0	0	0.371	0.0354035207182314	1.08167092249619
TARGET.52.PATDVL.01	0.0195439299340475	0	0.00108699447815793	0.239530409338945	0	0.104118144094039	0.105090660242859	0.0422250428494029	0.0092408644622936	0.0782185887959115	0	0.0302687164755699	0.0151368307319527	0.118131911059684	0.0733922607528121	0.157358929671219	0.00296519756133995	0	0.0036915195517667	0	0	0	0.00600000000000001	0.305116259876806	0.965527415510841
TARGET.52.PARZBI.01	0.012678346369595	0	0.00634798669582873	0.386930038224039	0	0	0.0668742472632547	0.0411766044314494	0	0.120707440443949	0	0.137573131168596	0	0	0.0617390664874312	0.139167218932207	0.00898095787840704	0	0	0.0139928834447425	0	0.00383207866050062	0.005	0.335480142332264	0.976986354373773
TARGET.52.PATFZZ.01	0.0489416541665601	0	0	0.14620724571949	0	0.195058437655536	0.115625958184283	0.0174829863269673	0	0.0805437417628875	0	0.036605775755742	0.0400417117744515	0	0.0983502430505703	0.183598407141153	0.0297286850574138	0	0.00781515340494642	0	0	0	0.276	0.0512628405423828	1.07485379384272
